cells,characters,dropout,mutationrate,rep,method,#branches,#FN,#FP,#TP,FN_rate,FP_rate,TP_rate,parsimony-score,time,normalized-parsimony-score
50,10,0.15,0.1,5,laml,14,8,7,7,0.533333,0.5,0.5,71.78,225.75,1.089722180051616821011082435
50,10,0.15,0.1,5,paup,17,8,10,7,0.533333,0.588235,0.411765,65.87,1.44,1
50,10,0.15,0.1,5,star_cdp,16,8,9,7,0.533333,0.5625,0.4375,65.87,4.33,1
50,10,0.15,0.1,5,paup-sc,3,12,0,3,0.8,0.0,1.0,248.64,,3.774707757704569606801275239
50,10,0.15,0.1,5,star_cdp-sc,9,8,2,7,0.533333,0.222222,0.777778,119.06,,1.807499620464551389099741916
50,10,0.15,0.1,5,ground-truth,15,0,0,15.0,0.0,0.0,1,65.87,,1
50,10,0.15,0.1,6,cassiopeia-greedy,12,3,6,6,0.333333,0.5,0.5,81.13,8.31,1.038264653186588175070386486
50,10,0.15,0.1,6,startle_nni,12,7,10,2,0.777778,0.833333,0.166667,90.10,3.40,1.153058612746352700281545943
50,10,0.15,0.1,6,startle_ilp,10,2,3,7,0.222222,0.3,0.7,77.16,13.23,0.9874584079856667519836191451
50,10,0.15,0.1,6,laml,12,7,10,2,0.777778,0.833333,0.166667,85.71,84.45,1.096877399539288456616329665
50,10,0.15,0.1,6,paup,10,2,3,7,0.222222,0.3,0.7,74.60,1.43,0.9546966982339390836959303814
50,10,0.15,0.1,6,star_cdp,12,3,6,6,0.333333,0.5,0.5,72.77,3.54,0.9312771947786025083184028666
50,10,0.15,0.1,6,paup-sc,3,6,0,3,0.666667,0.0,1.0,157.50,,2.015613002303557716918351676
50,10,0.15,0.1,6,star_cdp-sc,8,2,1,7,0.222222,0.125,0.875,123.22,,1.576913232659329408753519324
50,10,0.15,0.1,6,ground-truth,9,0,0,9.0,0.0,0.0,1,78.14,,1
50,10,0.15,0.1,7,cassiopeia-greedy,13,5,7,6,0.454545,0.538462,0.461538,71.25,6.68,1.030965128056721169150629431
50,10,0.15,0.1,7,startle_nni,10,8,7,3,0.727273,0.7,0.3,74.58,3.40,1.079149182462740558529879902
50,10,0.15,0.1,7,startle_ilp,10,7,6,4,0.636364,0.6,0.4,66.70,11.32,0.9651280567211691506294313413
50,10,0.15,0.1,7,laml,10,8,7,3,0.727273,0.7,0.3,72.39,347.19,1.047460570105628707857039502
50,10,0.15,0.1,7,paup,11,7,7,4,0.636364,0.636364,0.363636,66.70,1.44,0.9651280567211691506294313413
50,10,0.15,0.1,7,star_cdp,11,6,6,5,0.545455,0.545455,0.454545,58.29,4.36,0.8434379973954565185935465200
50,10,0.15,0.1,7,paup-sc,2,9,0,2,0.818182,0.0,1.0,176.26,,2.550426855737230502098104471
50,10,0.15,0.1,7,star_cdp-sc,8,8,5,3,0.727273,0.625,0.375,103.69,,1.500361742150195340761105484
50,10,0.15,0.1,7,ground-truth,11,0,0,11.0,0.0,0.0,1,69.11,,1
50,10,0.15,0.1,8,cassiopeia-greedy,10,6,8,2,0.75,0.8,0.2,35.81,5.21,1
50,10,0.15,0.1,8,startle_nni,7,6,5,2,0.75,0.714286,0.285714,41.35,3.63,1.154705389555989946942194918
50,10,0.15,0.1,8,startle_ilp,8,2,2,6,0.25,0.25,0.75,35.81,12.93,1
50,10,0.15,0.1,8,laml,7,6,5,2,0.75,0.714286,0.285714,37.84,519.95,1.056688075956436749511309690
50,10,0.15,0.1,8,paup,10,5,7,3,0.625,0.7,0.3,35.81,1.47,1
50,10,0.15,0.1,8,star_cdp,10,5,7,3,0.625,0.7,0.3,32.30,3.23,0.9019826864004468025691147724
50,10,0.15,0.1,8,paup-sc,0,8,0,0,1.0,inf,inf,166.10,,4.638369170622731080703714046
50,10,0.15,0.1,8,star_cdp-sc,7,4,3,4,0.5,0.428571,0.571429,40.89,,1.141859815693940240156380899
50,10,0.15,0.1,8,ground-truth,8,0,0,8.0,0.0,0.0,1,35.81,,1
50,10,0.15,0.1,9,cassiopeia-greedy,9,5,5,4,0.555556,0.555556,0.444444,44.36,5.25,1
50,10,0.15,0.1,9,startle_nni,10,4,5,5,0.444444,0.5,0.5,44.36,3.55,1
50,10,0.15,0.1,9,startle_ilp,9,4,4,5,0.444444,0.444444,0.555556,44.36,11.88,1
50,10,0.15,0.1,9,laml,10,4,5,5,0.444444,0.5,0.5,44.36,249.18,1
50,10,0.15,0.1,9,paup,10,4,5,5,0.444444,0.5,0.5,44.36,1.51,1
50,10,0.15,0.1,9,star_cdp,11,4,6,5,0.444444,0.545455,0.454545,44.36,3.36,1
50,10,0.15,0.1,9,paup-sc,2,7,0,2,0.777778,0.0,1.0,96.83,,2.182822362488728584310189360
50,10,0.15,0.1,9,star_cdp-sc,8,5,4,4,0.555556,0.5,0.5,46.39,,1.045761947700631199278629396
50,10,0.15,0.1,9,ground-truth,9,0,0,9.0,0.0,0.0,1,44.36,,1
50,10,0.15,0.1,10,cassiopeia-greedy,14,3,10,4,0.428571,0.714286,0.285714,72.87,5.67,1.045480631276901004304160689
50,10,0.15,0.1,10,startle_nni,8,2,3,5,0.285714,0.375,0.625,69.70,3.41,1
50,10,0.15,0.1,10,startle_ilp,8,2,3,5,0.285714,0.375,0.625,67.49,12.53,0.9682926829268292682926829268
50,10,0.15,0.1,10,laml,8,2,3,5,0.285714,0.375,0.625,67.69,331.67,0.9711621233859397417503586801
50,10,0.15,0.1,10,paup,8,2,3,5,0.285714,0.375,0.625,67.49,1.78,0.9682926829268292682926829268
50,10,0.15,0.1,10,star_cdp,10,2,5,5,0.285714,0.5,0.5,65.48,3.97,0.9394548063127690100430416069
50,10,0.15,0.1,10,paup-sc,5,2,0,5,0.285714,0.0,1.0,86.85,,1.246054519368723098995695839
50,10,0.15,0.1,10,star_cdp-sc,7,2,2,5,0.285714,0.285714,0.714286,67.69,,0.9711621233859397417503586801
50,10,0.15,0.1,10,ground-truth,7,0,0,7.0,0.0,0.0,1,69.70,,1
50,10,0.15,0.1,11,cassiopeia-greedy,15,6,11,4,0.6,0.733333,0.266667,75.20,5.59,1.037957211870255348516218081
