silencing,dropout,prior,rep,method,#branches,#FN,#FP,#TP,FN_rate,FP_rate,TP_rate,parsimony-score,time,normalized-parsimony-score
0,100,10,05,startle_nni,213,133,138,75,0.639423,0.647887,0.352113,1788.39,14.47,1.131570122433484134265557278
0,100,10,05,laml,213,133,138,75,0.639423,0.647887,0.352113,1788.39,3140.88,1.131570122433484134265557278
0,100,10,05,paup,218,64,74,144,0.307692,0.33945,0.66055,1545.84,45.63,0.9781011737163466101426808820
0,100,10,05,star_cdp,221,62,75,146,0.298077,0.339367,0.660633,1545.84,55.33,0.9781011737163466101426808820
0,100,10,05,star_cdp-rand,231,57,80,151,0.274038,0.34632,0.65368,1545.84,55.39,0.9781011737163466101426808820
0,100,10,05,paup-sc,186,70,48,138,0.336538,0.258065,0.741935,1588.97,,1.005390869689012622987123920
0,100,10,05,star_cdp-sc,192,67,51,141,0.322115,0.265625,0.734375,,,
0,100,10,05,ground-truth,249,0,0,249,0.0,0.0,1.0,1580.45,,1
25,75,01,01,cassiopeia_greedy,216,163,182,34,0.827411,0.842593,0.157407,2622.15,6.81,1.710726332065476229310333579
25,75,01,01,startle_nni,207,98,108,99,0.497462,0.521739,0.478261,1663.63,6.69,1.085374844236252014327002747
25,75,01,01,laml,202,93,98,104,0.472081,0.485149,0.514851,1652.08,2563.01,1.077839467108568147863019240
25,75,01,01,paup,205,44,52,153,0.22335,0.253659,0.746341,1511.48,47.26,0.9861101143681048037213671979
25,75,01,01,star_cdp,206,52,61,145,0.263959,0.296117,0.703883,1507.66,62.05,0.9836178944003340357653137783
25,75,01,01,star_cdp-rand,222,50,75,147,0.253807,0.337838,0.662162,1507.66,60.64,0.9836178944003340357653137783
25,75,01,01,paup-sc,159,68,30,129,0.345178,0.188679,0.811321,1548.09,,1.009994976415248210755690678
25,75,01,01,star_cdp-sc,174,61,38,136,0.309645,0.218391,0.781609,,,
25,75,01,01,ground-truth,249,0,0,249,0.0,0.0,1.0,1532.77,,1
25,75,01,02,cassiopeia_greedy,215,174,185,30,0.852941,0.860465,0.139535,2749.23,6.77,1.822275101413155871357743193
25,75,01,02,startle_nni,206,100,102,104,0.490196,0.495146,0.504854,1618.25,3.94,1.072626401887742927592332370
25,75,01,02,laml,206,100,102,104,0.490196,0.495146,0.504854,1614.42,6197.24,1.070087758835538351406527561
