cells,characters,dropout,mutationrate,rep,search_space_size
150,30,0.15,0.1,0,1589
150,30,0.15,0.1,1,958
150,30,0.15,0.1,2,1113
150,30,0.15,0.1,3,733
150,30,0.15,0.1,4,789
150,30,0.15,0.1,5,717
150,30,0.15,0.1,6,1187
150,30,0.15,0.1,7,480
150,30,0.15,0.1,8,1771
150,30,0.15,0.1,9,805
150,30,0.15,0.1,10,1080
150,30,0.15,0.1,11,1544
150,30,0.15,0.1,12,3676
150,30,0.15,0.1,13,3676
150,30,0.15,0.1,14,865
150,30,0.15,0.1,15,942
150,30,0.15,0.1,16,942
150,30,0.15,0.1,17,719
150,30,0.15,0.1,18,736
150,30,0.15,0.1,19,1463
150,30,0.15,0.1,20,1803
200,10,0.15,0.1,0,2570
200,10,0.15,0.1,1,1587
200,10,0.15,0.1,2,2385
200,10,0.15,0.1,3,2270
200,10,0.15,0.1,4,14485
200,10,0.15,0.1,5,2476
200,10,0.15,0.1,6,3663
200,10,0.15,0.1,7,1244
200,10,0.15,0.1,8,7874
200,10,0.15,0.1,9,2601
200,10,0.15,0.1,10,1711
200,10,0.15,0.1,11,2466
200,10,0.15,0.1,12,1829
200,10,0.15,0.1,13,1829
200,10,0.15,0.1,14,4554
200,10,0.15,0.1,15,3696
200,10,0.15,0.1,16,3696
200,10,0.15,0.1,17,1619
200,10,0.15,0.1,18,8066
200,10,0.15,0.1,19,7426
200,10,0.15,0.1,20,3163
200,20,0.15,0.1,0,2002
200,20,0.15,0.1,1,1766
200,20,0.15,0.1,2,1594
200,20,0.15,0.1,3,1523
200,20,0.15,0.1,4,1474
200,20,0.15,0.1,5,987
200,20,0.15,0.1,6,1662
200,20,0.15,0.1,7,1109
200,20,0.15,0.1,8,1582
200,20,0.15,0.1,9,2859
200,20,0.15,0.1,10,1497
200,20,0.15,0.1,11,1992
200,20,0.15,0.1,12,3391
200,20,0.15,0.1,13,3391
200,20,0.15,0.1,14,1495
200,20,0.15,0.1,15,4612
200,20,0.15,0.1,16,4612
200,20,0.15,0.1,17,1448
200,20,0.15,0.1,18,1930
200,20,0.15,0.1,19,4398
200,20,0.15,0.1,20,1844
200,30,0.15,0.1,0,1887
200,30,0.15,0.1,1,2399
200,30,0.15,0.1,2,5489
200,30,0.15,0.1,3,1086
200,30,0.15,0.1,4,1801
200,30,0.15,0.1,5,894
200,30,0.15,0.1,6,1301
200,30,0.15,0.1,7,1351
200,30,0.15,0.1,8,1638
200,30,0.15,0.1,9,1382
200,30,0.15,0.1,10,2207
200,30,0.15,0.1,11,1667
200,30,0.15,0.1,12,1746
200,30,0.15,0.1,13,1746
200,30,0.15,0.1,14,1673
200,30,0.15,0.1,15,1546
200,30,0.15,0.1,16,1546
200,30,0.15,0.1,17,1080
200,30,0.15,0.1,18,1304
200,30,0.15,0.1,19,1284
200,30,0.15,0.1,20,1694
