pipeline,star_cdp_one_sol,star_cdp_rand_sol,star_cdp_sc,paup_one_sol,paup_sc,startle_nni,Cassiopeia-Hybird
1a,462.85,462.85,462.85,581.33,,261.44,
1b,,69204.0,,,,12779.0,
1c,,,,,,,
2a,351.74,351.74,351.74,597.45,,200.42000000000002,
2b,,,,,,,
2c,,,,82301.0,,77923.0,
