pipeline,star_cdp_one_sol,star_cdp_rand_sol,star_cdp_sc,paup_one_sol,paup_sc,startle_nni,Cassiopeia-Hybrid
1a,4493.977178953768,4493.977178953768,4549.395340189771,4493.977178953766,4618.745201551217,5493.10562728476,4824.726321107114
1b,4493.977178953768,4493.977178953768,4516.532299306251,4493.977178953767,4522.533711845223,5493.105627284762,
1c,4500.861035204081,4493.977178953766,4513.488998573421,4493.977178953767,4530.315277816382,5493.10562728476,
2a,4462.7504039792875,4462.7504039792875,4779.381959768585,4462.7504039792875,5020.700324736916,5104.523810800704,4759.112214684889
2b,4462.7504039792875,4462.7504039792875,4603.5632072656845,4462.750403979289,4738.3360578516285,5103.199366358759,
2c,4462.7504039792875,4462.7504039792875,4542.503551647551,4462.7504039792875,4580.198873672457,5110.324278481328,
