pipeline,star_cdp_one_sol,star_cdp_rand_sol,star_cdp_sc,paup_one_sol,paup_sc,startle_nni,Cassiopeia-Hybrid
1a,5365.224503344715,5365.224503344714,5409.06956888202,5365.224503344715,5422.19486075475,5989.742066390418,6042.466271948165
1b,5365.224503344715,5365.224503344714,5400.9795013543335,5365.224503344714,5404.41155555928,5978.699821594038,
1c,5365.224503344715,5418.058655543221,5407.303642959425,5365.224503344715,5415.65687808247,6015.603185423955,
2a,5352.048647755794,5352.048647755795,5362.374084169245,5352.048647755795,5373.268657809213,5833.339128981252,5989.1323125781155
2b,5352.048647755796,5352.048647755795,5360.544416726095,5352.048647755795,5363.099228494416,5832.897647500604,
2c,5352.048647755795,5352.048647755795,5360.544416726094,5352.048647755795,5376.111645391369,5837.850029705292,
