pipeline,star_cdp_one_sol,star_cdp_rand_sol,star_cdp_sc,paup_one_sol,paup_sc,startle_nni,Cassiopeia-Hybrid
1a,312.6475935947158,312.6475935947158,637.4160476967878,312.6475935947157,1079.5127884232763,317.4563877889921,317.54832631937313
1b,312.6475935947158,312.6475935947158,340.4778354601188,312.6475935947157,313.7570965565631,317.4563877889921,
1c,313.1209816872544,313.12098168725436,318.28999981650367,312.8029242526,317.09050708603127,317.61171844687635,
2a,306.9447667261353,306.9447667261353,381.61648386621664,306.9447667261353,815.3471581758998,316.1841580503747,317.2302688847187
2b,306.9447667261353,306.9447667261353,310.5840168837723,306.9447667261353,318.258152971714,316.1841580503748,
2c,309.5859982033749,308.38035618752474,318.38178886743407,307.9863661494614,313.15158700192336,316.33948870825895,
