pipeline,star_cdp_one_sol,star_cdp_rand_sol,star_cdp_sc,paup_one_sol,paup_sc,startle_nni,Cassiopeia-Hybird
1a,651.36,651.36,651.36,3606.0,,526.98,
1b,1499.61,2937.19,29305.0,1406.91,28659.0,868.91,
1c,,44779.0,,3152.55,,,
2a,406.84000000000003,406.84000000000003,406.84000000000003,14302.0,,299.05,
2b,2857.27,1187.16,29283.0,28916.0,34526.0,28589.0,
2c,1731.27,1677.29,,5587.0,,,
