silencing,dropout,prior,rep,method,#branches,#FN,#FP,#TP,FN_rate,FP_rate,TP_rate,parsimony-score,time,normalized-parsimony-score
75,25,02,04,cassiopeia_greedy,248,184,184,64,0.741935,0.741935,0.258065,2804.68,5.60,1.562774422181113067510642566
75,25,02,04,startle_nni,248,75,75,173,0.302419,0.302419,0.697581,1847.72,5.10,1.029554015200481422872044041
75,25,02,04,laml,248,73,73,175,0.294355,0.294355,0.705645,1846.76,2847.20,1.029019100898210265896984421
75,25,02,04,paup,227,75,54,173,0.302419,0.237885,0.762115,1781.77,51.05,0.9928065170392493369291461430
75,25,02,04,star_cdp,248,75,75,173,0.302419,0.302419,0.697581,1780.15,67.87,0.9919038491541667595337330332
75,25,02,04,star_cdp-rand,248,65,65,183,0.262097,0.262097,0.737903,1780.15,67.02,0.9919038491541667595337330332
75,25,02,04,paup-sc,166,94,12,154,0.379032,0.072289,0.927711,1823.87,,1.016264738003432366772906591
75,25,02,04,star_cdp-sc,188,83,23,165,0.334677,0.12234,0.87766,,,
75,25,02,04,ground-truth,248,0,0,248,0.0,0.0,1.0,1794.68,,1
75,25,02,05,cassiopeia_greedy,248,180,180,68,0.725806,0.725806,0.274194,2514.20,5.69,1.361875924230687979719738047
75,25,02,05,startle_nni,248,67,67,181,0.270161,0.270161,0.729839,1864.75,4.46,1.010085963610363300525965127
75,25,02,05,laml,248,46,46,202,0.185484,0.185484,0.814516,1859.20,2689.27,1.007079674779132563795615693
75,25,02,05,paup,217,78,47,170,0.314516,0.21659,0.78341,1836.06,55.16,0.9945453462107218884910596762
75,25,02,05,star_cdp,248,73,73,175,0.294355,0.294355,0.705645,1834.44,72.47,0.9936678348762004842562549766
75,25,02,05,star_cdp-rand,248,67,67,181,0.270161,0.270161,0.729839,1834.44,74.98,0.9936678348762004842562549766
75,25,02,05,paup-sc,162,99,13,149,0.399194,0.080247,0.919753,1899.65,,1.028990374459003428794288593
75,25,02,05,star_cdp-sc,178,90,20,158,0.362903,0.11236,0.88764,,,
75,25,02,05,ground-truth,248,0,0,248,0.0,0.0,1.0,1846.13,,1
75,25,03,01,cassiopeia_greedy,247,179,178,69,0.721774,0.720648,0.279352,2143.68,5.83,1.324502001878305570658889823
75,25,03,01,startle_nni,248,82,82,166,0.330645,0.330645,0.669355,1678.64,3.77,1.037170678661460135435717463
75,25,03,01,laml,248,82,82,166,0.330645,0.330645,0.669355,1673.86,4813.90,1.034217290297068854727892838
75,25,03,01,paup,220,103,75,145,0.415323,0.340909,0.659091,1598.57,66.72,0.9876983342395333893529731600
75,25,03,01,star_cdp,248,98,98,150,0.395161,0.395161,0.604839,1596.06,83.60,0.9861474964163906875586970491
75,25,03,01,star_cdp-rand,248,93,93,155,0.375,0.375,0.625,1596.06,84.36,0.9861474964163906875586970491
